model auto,year of production,mileage,exterior colour,tax,transmission,wheel drive,number of owners,engine volume,engine power,engine type,fuel type,acceleration,MPG,country of the car brand,class,top speed,environmental class,price,fuel utilization efficiency,engine optimality,intensity of use
Chevrolet,2019,116000.0,чёрный,47700.0,автоматическая,полный,1 владелец,3.6,318.0,бензиновый ,АИ-95 ,7.6,10.0,США ,F ,190.0,Euro 5 ,3350000.0,2.7777777777777777,8700.48,19333.333333333332
Opel,2013,138000.0,серебристый,2800.0,механическая,передний,2 владельца,1.8,140.0,бензиновый ,АИ-95 ,10.5,7.1,Германия ,C ,207.0,Euro 4 ,730000.0,3.944444444444444,2646.0,11500.0
Hyundai,2021,81550.0,чёрный,2460.0,автоматическая,передний,1 владелец,1.6,123.0,бензиновый ,АИ-92 ,11.2,6.6,Южная Корея ,B ,192.0,Euro 5 ,1550000.0,4.124999999999999,2204.16,20387.5
Lada,2021,55000.0,белый,2120.0,механическая,передний,2 владельца,1.6,106.0,бензиновый ,АИ-92 ,11.2,6.9,Россия ,B ,175.0,Euro 5 ,980000.0,4.3125,1899.5200000000002,13750.0
Nissan,2019,136000.0,серый,2860.0,автоматическая,полный,2 владельца,2.0,143.0,бензиновый ,АИ-95 ,11.5,8.7,Япония ,B ,174.0,Euro 5 ,1500000.0,4.35,3289.0,22666.666666666668
Volkswagen,2013,130000.0,белый,2100.0,механическая,передний,3 или более,1.6,105.0,бензиновый ,АИ-95 ,11.5,6.5,Германия ,C ,180.0,Euro 5 ,980000.0,4.0625,1932.0,10833.333333333334
Renault,2013,150000.0,бежевый,2280.0,вариатор,передний,3 или более,1.6,114.0,бензиновый ,АИ-95 ,11.9,6.6,Франция ,C ,175.0,Euro 4 ,680000.0,4.124999999999999,2170.56,12500.0
Nissan,2014,113500.0,белый,18675.0,вариатор,полный,1 владелец,3.5,249.0,бензиновый ,АИ-95 ,8.5,10.4,Япония ,E ,190.0,Euro 5 ,2079000.0,2.9714285714285715,7407.75,10318.181818181818
Volkswagen,2012,173000.0,серебристый,6080.0,роботизированная,передний,3 или более,1.8,152.0,бензиновый ,АИ-95 ,8.8,7.1,Германия ,D ,214.0,Euro 5 ,1100000.0,3.944444444444444,2407.6800000000003,13307.692307692309
Hyundai,2008,263000.0,серый,2800.0,механическая,полный,1 владелец,2.0,140.0,бензиновый ,АИ-95 ,11.3,8.2,Южная Корея ,C ,174.0,Euro 0,870000.0,4.1,3164.0,15470.588235294117
Hyundai,2012,243376.0,синий,7000.0,автоматическая,полный,3 или более,2.4,175.0,бензиновый ,АИ-95 ,11.6,8.9,Южная Корея ,D ,190.0,Euro 5 ,1500000.0,3.7083333333333335,4872.0,18721.23076923077
Renault,2013,129000.0,коричневый,2060.0,автоматическая,передний,2 владельца,1.6,103.0,бензиновый ,АИ-95 ,12.4,8.6,Франция ,B ,171.0,Euro 4 ,690000.0,5.374999999999999,2043.5200000000002,10750.0
Ford,2011,230000.0,чёрный,900.0,механическая,передний,3 или более,1.6,100.0,бензиновый ,АИ-95 ,12.0,6.7,США ,C ,182.0,Euro 0,560000.0,4.1875,1920.0,16428.571428571428
Nissan,2014,198000.0,серый,60750.0,автоматическая,полный,3 или более,5.6,405.0,бензиновый ,АИ-95 ,6.6,14.5,Япония ,J ,210.0,Euro 5 ,3049000.0,2.5892857142857144,14968.8,18000.0
Nissan,2011,196000.0,белый,16725.0,автоматическая,задний,2 владельца,2.5,223.0,бензиновый ,АИ-98 ,8.5,9.3,Япония ,E ,242.0,Euro 0,1999999.0,3.72,4738.75,14000.0
LiXiang,2024,53.0,чёрный,67350.0,автоматическая,полный,1 владелец,1.5,449.0,гибридный ,АИ-95 ,5.3,7.6,Китай ,E ,180.0,Euro 0,6850000.0,5.066666666666666,3569.5499999999997,53.0
Lifan,2013,85100.0,серебристый,2500.0,механическая,передний,3 или более,1.8,125.0,бензиновый ,АИ-95 ,14.0,8.2,Китай ,C ,200.0,Euro 0,330000.0,4.555555555555555,3150.0,7091.666666666667
Lifan,2015,57322.0,серебристый,2560.0,механическая,передний,3 или более,1.8,128.0,бензиновый ,АИ-95 ,14.5,8.2,Китай ,C ,170.0,Euro 0,780000.0,4.555555555555555,3340.8,5732.2
Hyundai,2017,90000.0,белый,2460.0,автоматическая,передний,1 владелец,1.6,123.0,бензиновый ,АИ-95 ,12.1,7.1,Южная Корея ,B ,169.0,Euro 6 ,1569990.0,4.437499999999999,2381.28,11250.0
